rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,2.92,0.2,93.78
2,2,Barcelona,Spanish Primera Division,3.12,0.38,92.41
3,3,Real Madrid,Spanish Primera Division,2.99,0.38,91.75
4,4,Bayern Munich,German Bundesliga,2.94,0.4,90.93
5,5,Juventus,Italy Serie A,2.66,0.29,90.72
6,6,Paris Saint-Germain,French Ligue 1,3.09,0.49,90.7
7,7,Liverpool,Barclays Premier League,2.66,0.3,90.56
8,8,Atletico Madrid,Spanish Primera Division,2.21,0.26,87.34
9,9,Chelsea,Barclays Premier League,2.52,0.45,86.66
10,10,Tottenham Hotspur,Barclays Premier League,2.42,0.52,84.23
11,11,Napoli,Italy Serie A,2.26,0.45,83.85
12,12,Ajax,Dutch Eredivisie,2.65,0.77,82.01
13,13,Arsenal,Barclays Premier League,2.54,0.75,81.19
14,14,Sevilla FC,Spanish Primera Division,2.39,0.66,81.06
15,15,Valencia,Spanish Primera Division,2.05,0.48,80.49
16,16,Internazionale,Italy Serie A,2.24,0.61,80.2
17,17,Borussia Dortmund,German Bundesliga,2.44,0.74,80.08
18,18,Manchester United,Barclays Premier League,2.28,0.67,79.39
19,19,PSV,Dutch Eredivisie,2.76,0.99,79.29
20,20,AS Roma,Italy Serie A,2.27,0.68,79.14
21,21,FC Porto,Portuguese Liga,2.17,0.67,77.98
22,22,AC Milan,Italy Serie A,2.17,0.67,77.8
23,23,FC Salzburg,Austrian T-Mobile Bundesliga,2.49,0.89,77.68
24,24,Real Betis,Spanish Primera Division,1.86,0.48,77.61
25,25,Espanyol,Spanish Primera Division,1.92,0.54,77.04
26,26,Getafe,Spanish Primera Division,1.81,0.48,76.87
27,27,Real Sociedad,Spanish Primera Division,2.09,0.69,76.23
28,28,Lazio,Italy Serie A,2.18,0.77,75.84
29,29,RB Leipzig,German Bundesliga,2.3,0.87,75.58
30,30,Young Boys,Swiss Raiffeisen Super League,2.65,1.11,75.52
31,31,Benfica,Portuguese Liga,2.06,0.7,75.51
32,32,PAOK Salonika,Greek Super League,2.02,0.68,75.36
33,33,Eibar,Spanish Primera Division,1.88,0.59,75.34
34,34,Lyon,French Ligue 1,2.11,0.75,75.23
35,35,Shakhtar Donetsk,UEFA Champions League,2.23,0.84,74.96
36,36,Villarreal,Spanish Primera Division,2.05,0.74,74.55
37,37,Atalanta,Italy Serie A,1.99,0.7,74.38
38,38,Dynamo Kiev,UEFA Europa League,2.08,0.81,73.46
39,39,Fiorentina,Italy Serie A,1.91,0.7,73.2
40,40,Bayer Leverkusen,German Bundesliga,2.16,0.89,72.92
41,41,Club Brugge,Belgian Jupiler League,2.34,1.02,72.89
42,42,CSKA Moscow,Russian Premier Liga,1.76,0.62,72.33
43,43,Athletic Bilbao,Spanish Primera Division,1.95,0.77,72.1
44,44,Leganes,Spanish Primera Division,1.8,0.66,72.0
45,45,TSG Hoffenheim,German Bundesliga,2.15,0.92,71.97
46,46,Celta Vigo,Spanish Primera Division,2.06,0.86,71.94
47,47,Schalke 04,German Bundesliga,1.82,0.69,71.66
48,48,FC Krasnodar,Russian Premier Liga,1.87,0.74,71.53
49,49,Leicester City,Barclays Premier League,1.93,0.78,71.52
50,50,Alavés,Spanish Primera Division,1.8,0.69,71.43
51,51,Marseille,French Ligue 1,2.02,0.86,71.21
52,52,Zenit St Petersburg,Russian Premier Liga,1.92,0.79,71.02
53,53,Galatasaray,Turkish Turkcell Super Lig,2.07,0.91,70.81
54,54,Girona FC,Spanish Primera Division,1.93,0.81,70.78
55,55,Palmeiras,Brasileiro Série A,1.68,0.64,70.42
56,56,Genk,Belgian Jupiler League,2.21,1.09,69.21
57,57,Borussia Monchengladbach,German Bundesliga,2.1,1.02,68.77
58,58,AEK Athens,Greek Super League,1.67,0.71,68.49
59,59,Olympiacos,Greek Super League,1.88,0.87,68.47
60,60,Wolverhampton,Barclays Premier League,1.72,0.76,68.16
61,61,SD Huesca,Spanish Primera Division,1.83,0.86,67.9
62,62,Real Valladolid,Spanish Primera Division,1.72,0.77,67.88
63,63,Everton,Barclays Premier League,1.83,0.85,67.88
64,64,Eintracht Frankfurt,German Bundesliga,1.85,0.87,67.84
65,65,Crystal Palace,Barclays Premier League,1.79,0.82,67.82
66,66,Guangzhou Evergrande,Chinese Super League,2.13,1.1,67.72
67,67,Sporting CP,Portuguese Liga,1.79,0.84,67.42
68,68,AFC Bournemouth,Barclays Premier League,2.0,1.02,67.28
69,69,Torino,Italy Serie A,1.71,0.79,67.22
70,70,Watford,Barclays Premier League,1.81,0.87,67.18
71,71,Levante,Spanish Primera Division,1.99,1.02,67.02
72,73,Werder Bremen,German Bundesliga,1.86,0.92,66.83
73,74,Besiktas,Turkish Turkcell Super Lig,1.99,1.03,66.81
74,75,Rayo Vallecano,Spanish Primera Division,1.84,0.91,66.73
75,76,Istanbul Basaksehir,Turkish Turkcell Super Lig,1.68,0.79,66.41
76,72,Grêmio,Brasileiro Série A,1.55,0.7,66.19
77,77,West Ham United,Barclays Premier League,1.8,0.91,65.96
78,78,Sampdoria,Italy Serie A,1.77,0.89,65.77
79,79,FC Augsburg,German Bundesliga,1.97,1.06,65.76
80,80,Ludogorets,UEFA Europa League,1.76,0.89,65.61
81,81,Newcastle,Barclays Premier League,1.68,0.83,65.6
82,82,AS Monaco,French Ligue 1,1.76,0.92,64.89
83,83,Southampton,Barclays Premier League,1.74,0.91,64.81
84,84,Spartak Moscow,Russian Premier Liga,1.71,0.88,64.76
85,85,Red Star Belgrade,UEFA Champions League,2.0,1.12,64.74
86,86,Stade Rennes,French Ligue 1,1.56,0.78,64.47
87,95,Flamengo,Brasileiro Série A,1.62,0.83,64.39
88,87,Sassuolo,Italy Serie A,1.79,0.98,64.11
89,88,FC Midtjylland,Danish SAS-Ligaen,1.97,1.13,64.04
90,89,Standard Liege,Belgian Jupiler League,1.91,1.08,64.04
91,90,Montpellier,French Ligue 1,1.49,0.73,63.96
92,91,Feyenoord,Dutch Eredivisie,2.12,1.26,63.94
93,92,Lille,French Ligue 1,1.69,0.92,63.73
94,93,VfB Stuttgart,German Bundesliga,1.72,0.94,63.71
95,94,Lokomotiv Moscow,Russian Premier Liga,1.54,0.8,63.41
96,96,Hertha Berlin,German Bundesliga,1.79,1.01,63.28
97,105,Internacional,Brasileiro Série A,1.52,0.79,63.17
98,97,Braga,Portuguese Liga,1.74,0.99,63.03
99,98,Shanghai SIPG,Chinese Super League,1.9,1.12,63.02
100,99,Mainz,German Bundesliga,1.61,0.88,62.8
101,100,St Etienne,French Ligue 1,1.64,0.91,62.72
102,101,Brighton and Hove Albion,Barclays Premier League,1.69,0.96,62.64
103,102,Boca Juniors,Argentina Primera Division,1.67,0.94,62.57
104,103,River Plate,Argentina Primera Division,1.6,0.89,62.47
105,104,VfL Wolfsburg,German Bundesliga,1.7,0.97,62.34
106,106,FC Copenhagen,Danish SAS-Ligaen,1.93,1.18,62.11
107,108,Nice,French Ligue 1,1.58,0.89,61.95
108,107,São Paulo,Brasileiro Série A,1.51,0.86,61.24
